205,456
215,535
230,614
246,692
272,766
320,830
381,883
445,926
517,939
587,924
648,879
696,823
731,759
752,687
766,612
782,538
794,465
269,424
314,396
368,394
421,405
472,424
555,428
606,411
656,403
708,406
749,432
515,481
516,534
517,589
518,643
461,671
488,680
516,689
542,682
567,673
338,479
369,465
403,467
429,488
399,494
365,492
592,492
620,471
654,470
684,485
657,498
624,498
412,761
451,750
486,739
514,748
540,740
577,750
616,759
581,797
546,817
516,821
486,816
450,797
428,767
486,767
514,770
542,767
600,764
543,770
515,774
487,770
0,0
0,341
0,682
0,1023
341,0
682,0
1023,0
1023,341
1023,682
1023,1023
341,1023
682,1023
