195,475
201,552
213,627
228,699
259,768
309,829
370,881
439,924
512,934
579,920
631,872
675,817
709,756
728,690
742,624
753,556
756,484
281,435
323,405
378,396
433,403
485,423
554,429
599,412
647,408
695,415
728,446
521,480
524,529
529,579
533,631
474,668
501,675
528,682
550,675
571,668
343,479
373,463
408,465
436,488
405,494
370,493
589,494
615,472
650,473
677,489
652,501
618,501
429,769
468,752
504,737
528,745
551,735
578,747
605,765
580,794
554,808
528,811
502,809
466,798
445,770
502,766
527,768
551,764
590,765
552,765
528,769
503,768
0,0
0,341
0,682
0,1023
341,0
682,0
1023,0
1023,341
1023,682
1023,1023
341,1023
682,1023
