72,69,68
18,69,72
70,4,71
79,78,8
18,17,69
75,73,74
5,78,71
4,5,71
73,23,72
19,18,72
69,0,70
17,0,69
5,6,78
23,20,72
20,19,72
75,25,73
25,75,26
45,25,26
20,22,21
22,20,23
2,41,31
16,45,26
16,15,45
75,16,26
16,75,76
15,16,76
78,7,8
6,7,78
7,57,8
9,79,8
9,10,79
59,6,5
10,11,79
79,11,77
55,11,10
11,55,54
30,35,34
33,30,34
24,23,73
25,24,73
22,27,21
27,42,28
42,27,22
3,4,70
2,3,70
0,1,70
1,2,70
1,41,2
20,37,19
19,37,18
58,7,6
59,58,6
7,58,57
12,54,13
12,11,54
11,12,77
12,76,77
12,13,76
9,56,10
56,55,10
57,56,8
56,9,8
55,64,54
35,14,54
54,14,13
13,14,76
14,15,76
41,40,31
37,40,41
52,33,34
35,52,34
30,32,31
33,32,30
44,25,45
44,24,25
43,22,23
43,42,22
24,43,23
44,43,24
48,2,31
48,3,2
3,48,4
48,5,4
48,59,5
36,17,18
37,36,18
36,37,41
36,0,17
36,1,0
1,36,41
56,65,55
65,64,55
53,35,54
64,53,54
53,52,35
52,53,63
53,65,63
65,53,64
29,30,31
40,29,31
42,29,28
30,29,35
29,42,35
38,20,21
38,37,20
38,40,37
46,44,45
46,14,35
15,46,45
14,46,15
67,58,59
48,60,59
60,67,59
67,60,61
51,52,63
52,51,33
29,39,28
39,29,40
39,27,28
38,39,40
27,39,21
39,38,21
47,43,44
46,47,44
43,47,42
42,47,35
47,46,35
58,66,57
67,66,58
66,56,57
66,65,56
65,66,63
60,49,61
49,48,31
49,60,48
62,67,61
62,66,67
51,62,61
62,51,63
66,62,63
50,51,61
49,50,61
50,32,33
51,50,33
32,50,31
50,49,31
