248,530
251,597
260,664
273,734
294,805
329,862
382,909
443,943
512,956
584,943
648,908
710,866
755,811
780,743
787,670
793,599
796,529
277,440
308,405
356,395
406,400
457,417
549,418
600,397
654,391
707,401
748,435
502,475
501,516
500,557
498,598
451,642
477,647
504,652
533,644
563,637
331,491
361,469
399,467
429,492
396,500
359,501
588,491
620,467
657,469
688,492
658,499
622,498
390,742
433,711
477,694
510,698
544,692
589,704
633,739
592,779
546,797
510,801
474,798
430,782
412,742
476,720
510,719
543,718
612,738
545,761
511,763
476,762
0,0
0,341
0,682
0,1023
341,0
682,0
1023,0
1023,341
1023,682
1023,1023
341,1023
682,1023
