237,481
245,558
259,631
274,702
297,769
336,828
389,875
451,915
516,928
583,918
653,886
714,845
757,790
779,721
788,645
798,571
808,494
273,435
312,410
361,408
409,418
455,437
557,436
610,423
663,419
714,426
758,450
505,479
504,524
502,569
501,615
455,647
479,655
504,662
531,656
557,648
334,483
365,465
405,469
439,495
400,500
362,499
582,495
614,469
654,471
691,492
656,503
616,502
407,733
441,717
477,707
506,714
537,708
579,718
622,738
583,773
542,787
509,791
476,787
441,769
428,738
477,742
507,743
538,742
600,742
539,743
508,745
477,742
0,0
0,341
0,682
0,1023
341,0
682,0
1023,0
1023,341
1023,682
1023,1023
341,1023
682,1023
